Device mode,Time,AC voltage (V),AC frequency (Hz),Battery voltage (V),Battery capacity (%),Charging current (A),Battery discharge current (A),Output voltage (V),Output frequency (Hz),Output apparent power (VA),Output active power (Watt),Load percent (%),PV1 input voltage (V),PV1 input power (Watt)
BatteryMode,"2025-02-03 
14:51:39",0.0,0.0,54.10,100,0,0,219.3,50.0,307,201,6,160.1,277
BatteryMode,"2025-02-03 
14:52:09",0.0,0.0,53.70,100,0,1,220.1,50.0,308,201,6,149.7,181
BatteryMode,"2025-02-03 
14:52:39",0.0,0.0,53.10,98,0,1,220.9,50.0,308,184,6,162.6,171
BatteryMode,"2025-02-03 
15:00:23",0.0,0.0,56.10,100,0,0,220.0,50.0,373,314,7,381.0,485
BatteryMode,"2025-02-03 
15:02:18",0.0,0.0,56.10,100,0,0,220.6,50.0,396,332,7,377.6,430
BatteryMode,"2025-02-03 
15:02:48",0.0,0.0,56.10,100,0,0,218.9,49.9,394,315,7,377.1,446
BatteryMode,"2025-02-03 
15:03:18",0.0,0.0,56.00,100,0,0,219.6,50.0,395,301,7,378.2,433
BatteryMode,"2025-02-03 
15:03:48",0.0,0.0,56.10,100,0,0,220.1,50.0,419,328,8,378.2,442
BatteryMode,"2025-02-03 
15:04:18",0.0,0.0,56.00,100,0,0,220.8,50.0,399,342,7,378.1,427
BatteryMode,"2025-02-03 
15:04:48",0.0,0.0,56.00,100,0,0,220.8,50.0,440,336,8,377.4,449
BatteryMode,"2025-02-03 
15:05:18",0.0,0.0,56.10,100,0,0,220.1,50.0,440,346,8,375.8,497
BatteryMode,"2025-02-03 
15:05:48",0.0,0.0,56.10,100,0,0,220.1,50.0,418,351,8,373.8,439
BatteryMode,"2025-02-03 
15:06:19",0.0,0.0,56.00,100,0,0,219.6,50.0,439,353,8,375.5,431
BatteryMode,"2025-02-03 
15:06:49",0.0,0.0,56.00,100,0,0,219.4,50.0,418,343,8,375.6,447
BatteryMode,"2025-02-03 
15:07:19",0.0,0.0,56.00,100,0,0,219.5,50.0,438,394,8,372.3,454
BatteryMode,"2025-02-03 
15:07:49",0.0,0.0,53.70,100,0,2,220.2,49.9,396,348,7,159.3,251
BatteryMode,"2025-02-03 
15:08:19",0.0,0.0,55.00,100,0,0,219.5,50.0,395,330,7,173.0,396
BatteryMode,"2025-02-03 
15:08:49",0.0,0.0,56.00,100,0,0,218.9,50.0,415,374,8,377.4,437
BatteryMode,"2025-02-03 
15:09:19",0.0,0.0,56.10,100,0,0,219.3,50.0,394,343,7,367.2,485
BatteryMode,"2025-02-03 
15:09:49",0.0,0.0,56.00,100,0,0,219.1,50.0,396,317,7,377.4,447
BatteryMode,"2025-02-03 
15:10:19",0.0,0.0,56.00,100,0,0,220.6,49.9,416,345,8,378.5,439
BatteryMode,"2025-02-03 
15:10:49",0.0,0.0,56.00,100,0,0,219.7,50.0,418,341,8,377.9,467
BatteryMode,"2025-02-03 
15:11:19",0.0,0.0,56.10,100,0,0,220.6,50.0,396,291,7,375.6,448
BatteryMode,"2025-02-03 
15:11:49",0.0,0.0,56.00,100,0,0,221.0,50.0,397,335,7,372.8,468
BatteryMode,"2025-02-03 
15:12:19",0.0,0.0,53.20,100,0,4,220.5,50.0,397,328,7,165.5,207
BatteryMode,"2025-02-03 
15:12:49",0.0,0.0,52.30,91,0,7,219.9,50.0,395,330,7,134.5,79
BatteryMode,"2025-02-03 
15:13:19",0.0,0.0,51.90,87,0,4,219.7,50.0,372,310,7,160.9,81
BatteryMode,"2025-02-03 
15:13:49",0.0,0.0,51.30,81,0,7,220.0,50.0,419,371,8,123.4,121
BatteryMode,"2025-02-03 
15:14:20",0.0,0.0,51.80,86,0,0,220.2,50.0,395,306,7,164.4,300
BatteryMode,"2025-02-03 
15:14:50",0.0,0.0,51.60,84,0,3,219.1,50.0,394,324,7,175.2,266
BatteryMode,"2025-02-03 
15:15:20",0.0,0.0,51.80,86,0,2,219.9,50.0,395,336,7,183.2,283
BatteryMode,"2025-02-03 
15:15:50",0.0,0.0,53.90,100,2,0,219.7,50.0,395,360,7,184.0,732
BatteryMode,"2025-02-03 
15:16:20",0.0,0.0,51.60,84,0,6,220.0,50.0,704,555,14,182.0,276
BatteryMode,"2025-02-03 
15:16:50",0.0,0.0,51.20,80,0,4,219.8,50.0,747,615,14,188.8,495
BatteryMode,"2025-02-03 
15:17:20",0.0,0.0,53.00,98,1,0,219.9,50.0,725,667,14,299.8,856
BatteryMode,"2025-02-03 
15:17:50",0.0,0.0,54.90,100,1,0,220.0,50.0,725,577,14,302.7,875
BatteryMode,"2025-02-03 
15:18:20",0.0,0.0,56.50,100,1,0,220.4,50.0,727,600,14,309.0,896
BatteryMode,"2025-02-03 
15:18:50",0.0,0.0,56.10,100,0,0,220.2,50.0,748,596,14,176.6,698
BatteryMode,"2025-02-03 
15:19:20",0.0,0.0,54.90,100,2,0,219.2,50.0,723,573,14,173.9,928
BatteryMode,"2025-02-03 
15:19:50",0.0,0.0,54.20,100,0,0,220.3,50.0,726,592,14,158.7,816
BatteryMode,"2025-02-03 
15:20:21",0.0,0.0,51.80,86,0,7,219.8,50.0,703,582,14,179.6,277
BatteryMode,"2025-02-03 
15:20:51",0.0,0.0,52.30,91,0,0,218.9,50.0,703,592,14,181.2,668
BatteryMode,"2025-02-03 
15:21:21",0.0,0.0,50.70,75,0,9,219.9,49.9,703,540,14,152.2,312
BatteryMode,"2025-02-03 
15:21:51",0.0,0.0,52.90,97,1,0,220.9,50.0,727,599,14,170.8,879
BatteryMode,"2025-02-03 
15:22:21",0.0,0.0,52.10,89,0,1,219.9,50.0,682,565,13,173.6,560
BatteryMode,"2025-02-03 
15:22:51",0.0,0.0,50.70,74,0,10,219.9,50.0,703,580,14,170.7,165
BatteryMode,"2025-02-03 
15:23:21",0.0,0.0,50.30,71,0,7,219.8,50.0,726,613,14,184.2,482
BatteryMode,"2025-02-03 
15:23:51",0.0,0.0,51.50,83,0,0,219.9,50.0,725,585,14,180.9,747
BatteryMode,"2025-02-03 
15:24:21",0.0,0.0,50.80,76,0,6,220.1,50.0,729,614,14,178.7,508
BatteryMode,"2025-02-03 
15:24:51",0.0,0.0,51.70,85,1,0,220.0,50.0,703,587,14,164.9,791
