Device mode,Time,AC voltage (V),AC frequency (Hz),Battery voltage (V),Battery capacity (%),Charging current (A),Battery discharge current (A),Output voltage (V),Output frequency (Hz),Output apparent power (VA),Output active power (Watt),Load percent (%),PV1 input voltage (V),PV1 input power (Watt)
LineMode,"2025-02-17 
00:07:19",180.4,48.9,57.10,95,10,0,180.4,48.9,162,100,3,0.0,0
LineMode,"2025-02-17 
00:07:49",182.6,48.8,57.00,95,10,0,182.6,48.8,146,72,2,0.0,0
LineMode,"2025-02-17 
00:08:19",183.7,48.8,57.00,95,10,0,183.7,48.8,0,0,0,0.0,0
LineMode,"2025-02-17 
00:08:49",184.7,48.8,57.00,95,10,0,184.7,48.8,0,0,0,0.0,0
LineMode,"2025-02-17 
00:09:19",185.3,48.8,57.00,95,9,0,185.3,48.8,0,0,0,0.0,0
LineMode,"2025-02-17 
00:09:49",185.1,48.8,57.00,95,9,0,185.1,48.8,0,0,0,0.0,0
LineMode,"2025-02-17 
00:10:19",184.5,49.0,57.00,95,9,0,184.5,49.0,0,0,0,0.0,0
LineMode,"2025-02-17 
00:10:49",185.3,49.0,57.00,95,9,0,185.3,49.0,0,0,0,0.0,0
LineMode,"2025-02-17 
00:11:19",185.8,49.0,57.00,95,9,0,185.8,49.0,0,0,0,0.0,0
LineMode,"2025-02-17 
00:11:49",187.3,49.0,57.00,95,9,0,187.3,49.0,0,0,0,0.0,0
LineMode,"2025-02-17 
00:12:19",178.5,49.0,57.00,95,8,0,178.5,49.0,0,0,0,0.0,0
LineMode,"2025-02-17 
00:12:49",179.9,48.9,57.00,95,8,0,179.9,48.9,0,0,0,0.0,0
LineMode,"2025-02-17 
00:13:19",180.2,48.9,57.00,95,8,0,180.2,48.9,0,0,0,0.0,0
LineMode,"2025-02-17 
00:13:49",181.0,48.9,57.00,95,8,0,181.0,48.9,0,0,0,0.0,0
LineMode,"2025-02-17 
00:14:20",180.9,49.3,57.00,95,8,0,180.9,49.3,0,0,0,0.0,0
